mask_type_id,tier,region_group,body_part,subregion,mask_role,owner_scope,scale,edit_allowed,protect_required,body_regions,required_for_images,required_for_video,required_for_audio_sync,soft_body_role,deformation_type,gravity_sensitive,collision_sensitive,multi_character_allowed,temporal_required,allowed_workflow_routes,protected_regions,required_evidence,qa_gates,promotion_rule,status,item_id,tracker_id,source_key,source_file_relative,citation_section,citation_line_start,citation_line_end
mf70_face_full_instance,tier_1_core_identity_anatomy,core_identity_face,face,full_face_identity_region,edit_or_protect_identity_region,single_character,major,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,hairline; neck; ears; background; clothing,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0001,TRK-W70-0001,W70:core_identity_face:mf70_face_full_instance,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Core Identity Face,15,31
mf70_face_identity_critical,tier_1_core_identity_anatomy,core_identity_face,face,identity_critical_triangle,edit_or_protect_identity_region,single_character,minor,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,eyes; nose; mouth; jawline; hairline,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0002,TRK-W70-0002,W70:core_identity_face:mf70_face_identity_critical,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Core Identity Face,15,31
mf70_expression_region,tier_1_core_identity_anatomy,core_identity_face,face,brows_eyes_cheeks_mouth_expression,edit_or_protect_identity_region,single_character,minor,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,identity_anchor; hairline; teeth; background,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0003,TRK-W70-0003,W70:core_identity_face:mf70_expression_region,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Core Identity Face,15,31
mf70_forehead_skin,tier_1_core_identity_anatomy,core_identity_face,face,forehead_skin,edit_or_protect_identity_region,single_character,minor,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,eyebrows; hairline; eyes; background,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0004,TRK-W70-0004,W70:core_identity_face:mf70_forehead_skin,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Core Identity Face,15,31
mf70_cheeks_skin,tier_1_core_identity_anatomy,core_identity_face,face,left_right_cheeks_skin,edit_or_protect_identity_region,single_character,minor,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,eyes; nose; mouth; hairline; jawline,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0005,TRK-W70-0005,W70:core_identity_face:mf70_cheeks_skin,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Core Identity Face,15,31
mf70_jawline_chin,tier_1_core_identity_anatomy,core_identity_face,face,jawline_chin_contour,edit_or_protect_identity_region,single_character,minor,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,mouth; neck; hair; clothing,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0006,TRK-W70-0006,W70:core_identity_face:mf70_jawline_chin,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Core Identity Face,15,31
mf70_ears,tier_1_core_identity_anatomy,core_identity_face,face,left_right_ears,edit_or_protect_identity_region,single_character,micro,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,hair; jawline; background; jewelry,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0007,TRK-W70-0007,W70:core_identity_face:mf70_ears,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Core Identity Face,15,31
mf70_skin_tone_continuity,tier_1_core_identity_anatomy,core_identity_face,skin,global_visible_skin_tone_continuity,edit_or_protect_identity_region,single_character,major,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,identity_anchor; clothing; background,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0008,TRK-W70-0008,W70:core_identity_face:mf70_skin_tone_continuity,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Core Identity Face,15,31
mf70_eyes_full,tier_1_core_identity_anatomy,face_detail_subregions,eyes,both_eyes_full_region,edit_or_protect_facial_detail,single_character,micro,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,pupils; iris; eyelids; eyelashes; eyebrows; skin,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0009,TRK-W70-0009,W70:face_detail_subregions:mf70_eyes_full,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Face Detail Subregions,32,53
mf70_left_eye,tier_1_core_identity_anatomy,face_detail_subregions,eyes,left_eye_full_region,edit_or_protect_facial_detail,single_character,micro,true,true,false,true,true,false,none,none,false,false,false,false,regional_inpaint; controlnet_guidance; reference_attention; mask_protected_negative,pupil; iris; eyelids; eyelashes; skin,mask_contract_json; mask_artifact_png_or_map_json; mask_preview_overlay; quality_score_json; workflow_patch_manifest; generated_output_artifact; whole_artifact_qa_report; target_runtime_evidence_before_final_certification,mask_contract_schema_pass; owner_instance_assignment_pass; mask_png_or_map_generated; preview_overlay_generated; protected_neighbor_check_pass; quality_score_minimum_85; workflow_routing_manifest_pass; generated_output_proof_required; strict_whole_artifact_visual_qa_pass; frame_grid_review_pass; playback_review_pass; temporal_drift_check_pass; repair_span_isolation_pass; loop_boundary_or_cut_integrity_pass,not_complete_until_local_proof_runtime_routing_generated_output_and_whole_artifact_qa_pass,required_not_complete,ITEM-W70-0010,TRK-W70-0010,W70:face_detail_subregions:mf70_left_eye,Plan\07_IMPLEMENTATION\mask_factory\ULTIMATE_MASK_FACTORY_TAXONOMY.md,Face Detail Subregions,32,53
