node_id,title,mode,lora_id,engine,category,scene_role,status,verification_tier,deploy_tier,sha256,size_mb,profile_stacks,already_active_in_main_chain,disabled_by_default,disabled_reason,lora_path,strength_model,strength_clip
137,W42-SDXL-0028 | body_acts,2,W42-SDXL-0028,sdxl,body_acts,body_act,installed,installed,canonical,8d5469bd80cd6f0ba16d8510e966a6f30db7e243ee32b16958fa2f0fea52ab9b,96.83,[],False,True,"library_reference_only; activate via compatible stack/profile, never all at once",wave42/sdxl/body_acts/sdxl_face_expression_BigloveTitfuck.safetensors,0.45,0.45
138,W42-SDXL-0059 | body_acts,2,W42-SDXL-0059,sdxl,body_acts,body_act,installed,installed,canonical,8075bc3f2a6056613446e3841520cd665f32ebb44c025fc56ddef51d8ab9336b,217.87,"[""nsfw_scene_cum"", ""nsfw_scene_ball_lick""]",False,True,"library_reference_only; activate via compatible stack/profile, never all at once",wave42/sdxl/body_acts/sdxl_cum_fluids_Cumshot-000008.safetensors,0.45,0.45
139,W42-SDXL-0174 | body_acts,2,W42-SDXL-0174,sdxl,body_acts,body_act,installed,installed,canonical,670b70eedb85b36506e82ff84e10e84cff4e6b715928e4abe59af6c1d3cf2d2c,162.67,[],False,True,"library_reference_only; activate via compatible stack/profile, never all at once",wave42/sdxl/body_acts/sdxl_realism_base_gangbang_blowjob_sdxl-4416-24_v1.safetensors,0.45,0.45
140,W42-SDXL-0215 | body_acts,2,W42-SDXL-0215,sdxl,body_acts,body_act,installed,installed,canonical,3c695e1a2f3e01190a37de38587711735a12493602e6250e2dd6687ab23bc5d4,435.34,[],False,True,"library_reference_only; activate via compatible stack/profile, never all at once",wave42/sdxl/body_acts/sdxl_experimental_MS_Real_XL_Bukkake.safetensors,0.45,0.45
141,W42-SDXL-0236 | body_acts,2,W42-SDXL-0236,sdxl,body_acts,body_act,installed,installed,canonical,9d9ffb65a0d2371bd928f9f67113ef4fa5e6ad1e60b42f8da73443f5846ba9a9,109.16,[],False,True,"library_reference_only; activate via compatible stack/profile, never all at once",wave42/sdxl/body_acts/sdxl_hair_PornMaster-cum-sdxl-V3-lora.safetensors,0.45,0.45
142,W42-SDXL-0238 | body_acts,2,W42-SDXL-0238,sdxl,body_acts,body_act,installed,installed,canonical,08609a025f2e675647f0e75417d8277eb161655d5de32a6000e349009ccb51d0,870.28,[],False,True,"library_reference_only; activate via compatible stack/profile, never all at once",wave42/sdxl/body_acts/sdxl_body_acts_pov_blowjob_model.safetensors,0.45,0.45
143,W42-SDXL-0240 | body_acts,2,W42-SDXL-0240,sdxl,body_acts,body_act,installed,installed,canonical,b6863872128ca728495352b26556fa797e680d35c4a408848c7a38ea33065386,217.87,[],False,True,"library_reference_only; activate via compatible stack/profile, never all at once",wave42/sdxl/body_acts/sdxl_jewelry_accessories_Pov_Riding_in_Cowgirl.safetensors,0.45,0.45
144,W42-SDXL-0254 | body_acts,2,W42-SDXL-0254,sdxl,body_acts,body_act,installed,installed,canonical,25e5652f08e509255743464cbda574615238871f68ca2a291f091dd927694d7d,217.87,[],False,True,"library_reference_only; activate via compatible stack/profile, never all at once",wave42/sdxl/body_acts/sdxl_realism_base_Realistic_Porn_Cowgirl2.safetensors,0.45,0.45
145,W42-SDXL-0283 | body_acts,2,W42-SDXL-0283,sdxl,body_acts,body_act,installed,installed,canonical,980aededb2f643a227a1a87f0d078c9e7ab0a63daf75135c15ad6916e9f8c39c,435.36,[],False,True,"library_reference_only; activate via compatible stack/profile, never all at once",wave42/sdxl/body_acts/sdxl_body_acts_TitjobBlowJobTitjob.safetensors,0.45,0.45
146,W42-SDXL-0021 | body_body_parts,2,W42-SDXL-0021,sdxl,body_body_parts,body_body_part,installed,installed,canonical,faf1df66005814227d2ff1ac6627aa97ab66035b0749745795d400ae48b1a554,435.36,[],False,True,"library_reference_only; activate via compatible stack/profile, never all at once",wave42/sdxl/body_body_parts/sdxl_body_body_parts_bbw.safetensors,0.45,0.45
147,W42-SDXL-0023 | body_body_parts,2,W42-SDXL-0023,sdxl,body_body_parts,body_body_part,installed,installed,canonical,ee8313f2315c1f03e904016ccb9db2211eb55bd5464505386d673b2f7db9ab72,217.88,[],False,True,"library_reference_only; activate via compatible stack/profile, never all at once",wave42/sdxl/body_body_parts/sdxl_body_body_parts_BBW_round_seductive.safetensors,0.45,0.45
148,W42-SDXL-0024 | body_body_parts,2,W42-SDXL-0024,sdxl,body_body_parts,body_body_part,installed,installed,canonical,3216d76edd565116e74b7b3fee1720dfd6000d1faa8e67c335df595988063233,324.99,[],False,True,"library_reference_only; activate via compatible stack/profile, never all at once",wave42/sdxl/body_body_parts/sdxl_face_identity_bgrabV11_XL-000007.safetensors,0.45,0.45
