"relative_path","full_path","size_bytes","sha256","extension","last_write_time","purpose","update_policy"
"Plan\Items\Coverage_Audit\ultra_blueprint_coverage_after.csv","C:\Comfy_UI_Main\Plan\Items\Coverage_Audit\ultra_blueprint_coverage_after.csv","3011593","70401bd03b39a87eebd5ed0ccb974673c97da7c1fc8b5c7eb816465d3cd070b0",".csv","2026-07-06T04:06:20","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Coverage_Audit\ultra_blueprint_coverage_before.csv","C:\Comfy_UI_Main\Plan\Items\Coverage_Audit\ultra_blueprint_coverage_before.csv","3021713","0887aeb52644f6dffdfa53ef266ccafb3eb6e0576dd87bddb1aecded335ed443",".csv","2026-07-06T04:06:20","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Coverage_Audit\ultra_blueprint_coverage_summary.json","C:\Comfy_UI_Main\Plan\Items\Coverage_Audit\ultra_blueprint_coverage_summary.json","969","14337fc3f4a93cf2243abf0a1b93269b6156bf7a337207080242029a75e0d0a9",".json","2026-07-06T04:06:20","Machine-readable manifest/configuration/validation data.","inspect_before_update"
"Plan\Items\Coverage_Audit\ultra_blueprint_source_section_index.csv","C:\Comfy_UI_Main\Plan\Items\Coverage_Audit\ultra_blueprint_source_section_index.csv","2960955","8d05ea73b809b23a82017d1556e325c83448b4215af77de40b4aa1c3f61d350b",".csv","2026-07-06T04:06:20","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\COVERAGE_VERIFICATION_README.md","C:\Comfy_UI_Main\Plan\Items\COVERAGE_VERIFICATION_README.md","842","7f83ac9f2a5aa551f57a72ee1ebe86fd45d358d13c53a398cacec167a88fe582",".md","2026-07-06T04:08:16","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Items\Data_Dictionaries\items_data_dictionary.csv","C:\Comfy_UI_Main\Plan\Items\Data_Dictionaries\items_data_dictionary.csv","4170","5b2f45cb89520c22b443b8a714d7100ac1cb58366e2a9ff8f4c04b2548a9d18a",".csv","2026-07-06T04:04:04","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Data_Dictionaries\tracker_data_dictionary.csv","C:\Comfy_UI_Main\Plan\Items\Data_Dictionaries\tracker_data_dictionary.csv","4582","7c485b2059fb2e633bb1ac49b8812c3e9acafdb3d90322974aa63e29fc040d15",".csv","2026-07-06T04:04:02","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Items\Manifests\items_package_manifest.json","C:\Comfy_UI_Main\Plan\Items\Manifests\items_package_manifest.json","1014","20a170899fda52d43155dac4f67568b031618411c07bb351b290f0c7fddc1420",".json","2026-07-06T04:08:16","Machine-readable manifest/configuration/validation data.","inspect_before_update"
"Plan\Items\Manifests\tracker_package_manifest.json","C:\Comfy_UI_Main\Plan\Items\Manifests\tracker_package_manifest.json","1028","661717a2dec66cff8dafb643773abfa7c62f7780e55197db721c280caa521e5e",".json","2026-07-06T04:08:16","Machine-readable manifest/configuration/validation data.","inspect_before_update"
"Plan\Items\README.md","C:\Comfy_UI_Main\Plan\Items\README.md","835","70d99d41eecbad3a611108dcbbcca412dec9e36024e2825779f9dba316e59128",".md","2026-07-06T04:04:04","Markdown documentation/instruction/reference file.","inspect_before_update"
