"relative_path","full_path","size_bytes","sha256","extension","last_write_time","purpose","update_policy"
"Plan\00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md","C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md","2506","9251d31d989377ffb785881e3a7ac4d4c70e25c90078be9569c600f69a288d09",".md","2026-07-06T03:46:44","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\00_PROJECT_CONTROL\CUMULATIVE_PACKAGING_RULES.md","C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\CUMULATIVE_PACKAGING_RULES.md","1051","e0604a585181fe4b0ef03dda11718497265171ee1c5e2ac4dcecea06ea21a721",".md","2026-07-06T03:46:44","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\00_PROJECT_CONTROL\WAVE_00_35_WAVE_EXPANSION_DELTA.md","C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE_00_35_WAVE_EXPANSION_DELTA.md","1727","0d23d38c115012340c7b3518aa23d581997afccac9b6e3d0dba86ca249832a74",".md","2026-07-06T03:46:44","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\00_PROJECT_CONTROL\WAVE_00_TO_19_MASTER_SCHEDULE.csv","C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE_00_TO_19_MASTER_SCHEDULE.csv","14670","c7208c5538e578b4c6c23f7d5bcf0a2c30d6c81a8790689c5abf00a5111fc3f2",".csv","2026-07-06T03:46:44","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\00_PROJECT_CONTROL\WAVE_00_TO_19_MASTER_SCHEDULE.md","C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE_00_TO_19_MASTER_SCHEDULE.md","15968","9623b89623e117dbf562d9723e0e264691febd54375a4af1f1938d59c7445ab5",".md","2026-07-06T03:46:44","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\00_PROJECT_CONTROL\WAVE_00_TO_34_MASTER_SCHEDULE.csv","C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE_00_TO_34_MASTER_SCHEDULE.csv","14180","76c3e21488144725f8c2c790bd341d1908be3046c051a2be371047ab0e59a928",".csv","2026-07-06T03:46:44","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\00_PROJECT_CONTROL\WAVE_00_TO_34_MASTER_SCHEDULE.json","C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE_00_TO_34_MASTER_SCHEDULE.json","17522","11edb73ebda36400450c27a6535dcd9fc15490c625beb358de8dfcd7b55291f7",".json","2026-07-06T03:46:44","Machine-readable manifest/configuration/validation data.","inspect_before_update"
"Plan\00_PROJECT_CONTROL\WAVE_00_TO_34_MASTER_SCHEDULE.md","C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE_00_TO_34_MASTER_SCHEDULE.md","14718","6d4ee126d4d9c303b51b3984f7fe94c80579d51daddfd21b2e797de3fcf1c2d9",".md","2026-07-06T03:46:44","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\00_PROJECT_CONTROL\WAVE_01_AI_PM_TASKS.md","C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE_01_AI_PM_TASKS.md","3163","a5763f28db4db68b16ab7f32dfa574acb1a356f9d8646ff174d447f2bf0a165a",".md","2026-07-06T03:46:44","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\00_PROJECT_CONTROL\WAVE_01_DELIVERY_REPORT.md","C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE_01_DELIVERY_REPORT.md","2188","a03c8040f673c00d457a4569fbd91a3e1b07c36dfb6dbc6b48240652f5cf732f",".md","2026-07-06T03:46:44","Markdown documentation/instruction/reference file.","inspect_before_update"
