"relative_path","full_path","size_bytes","sha256","extension","last_write_time","purpose","update_policy"
"Plan\Tracker\Coverage_Audit\ultra_blueprint_coverage_after.csv","C:\Comfy_UI_Main\Plan\Tracker\Coverage_Audit\ultra_blueprint_coverage_after.csv","3011593","70401bd03b39a87eebd5ed0ccb974673c97da7c1fc8b5c7eb816465d3cd070b0",".csv","2026-07-06T04:06:20","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Tracker\Coverage_Audit\ultra_blueprint_coverage_before.csv","C:\Comfy_UI_Main\Plan\Tracker\Coverage_Audit\ultra_blueprint_coverage_before.csv","3021713","0887aeb52644f6dffdfa53ef266ccafb3eb6e0576dd87bddb1aecded335ed443",".csv","2026-07-06T04:06:20","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Tracker\Coverage_Audit\ultra_blueprint_coverage_summary.json","C:\Comfy_UI_Main\Plan\Tracker\Coverage_Audit\ultra_blueprint_coverage_summary.json","971","f3e0d06985a519af6cb290b957a424e792e44e47d1158aad1fd029593b92fd23",".json","2026-07-06T04:06:20","Machine-readable manifest/configuration/validation data.","inspect_before_update"
"Plan\Tracker\Coverage_Audit\ultra_blueprint_source_section_index.csv","C:\Comfy_UI_Main\Plan\Tracker\Coverage_Audit\ultra_blueprint_source_section_index.csv","2960955","8d05ea73b809b23a82017d1556e325c83448b4215af77de40b4aa1c3f61d350b",".csv","2026-07-06T04:06:20","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Tracker\COVERAGE_VERIFICATION_README.md","C:\Comfy_UI_Main\Plan\Tracker\COVERAGE_VERIFICATION_README.md","856","3ec3ada06ff09bd4afce62270dbfd85885a15d1dbbba93831f090f35abd7349f",".md","2026-07-06T04:08:16","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Tracker\Data_Dictionaries\tracker_data_dictionary.csv","C:\Comfy_UI_Main\Plan\Tracker\Data_Dictionaries\tracker_data_dictionary.csv","4582","7c485b2059fb2e633bb1ac49b8812c3e9acafdb3d90322974aa63e29fc040d15",".csv","2026-07-06T04:04:02","Tabular tracker/index/audit data.","inspect_before_update"
"Plan\Tracker\Manifests\tracker_package_manifest.json","C:\Comfy_UI_Main\Plan\Tracker\Manifests\tracker_package_manifest.json","2061","d9a463dab04b0bbdd0f3d76359a2d07159fff38b1626782221c00936fefc14cd",".json","2026-07-06T15:16:25","Machine-readable manifest/configuration/validation data.","inspect_before_update"
"Plan\Tracker\README.md","C:\Comfy_UI_Main\Plan\Tracker\README.md","2233","636a3baaff50ce07c4664f2cba5b3ccc8a9fb0ab5625dc513bdefb24c3d72603",".md","2026-07-06T15:18:47","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Tracker\RELEASE_NOTES.md","C:\Comfy_UI_Main\Plan\Tracker\RELEASE_NOTES.md","933","8f9ccdf8eb4fd16d658c108ea75a5816e48ceedcb6b94d5256a47caa7189a56c",".md","2026-07-06T04:08:16","Markdown documentation/instruction/reference file.","inspect_before_update"
"Plan\Tracker\Reports\tracker_summary_report.json","C:\Comfy_UI_Main\Plan\Tracker\Reports\tracker_summary_report.json","961","ace2c07bd7568adce38a0f0ef8e4736a10079beca68645b82539108d6ae07e06",".json","2026-07-06T04:04:02","Machine-readable manifest/configuration/validation data.","inspect_before_update"
