Column,Meaning
Item_ID,Unique item ID.
Item_Wave,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Item_Type,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Item_Title,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Item_Category,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Item_Domain,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Owner_Domain,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Autonomous_Required,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Human_Input_Allowed,Must be FALSE for full autonomous execution.
Human_Work_Allowed,Must be FALSE for full autonomous execution.
Codex_Action,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Implementation_Target,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Deliverable_Type,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Acceptance_Criteria,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
QA_Gates_Required,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Visual_Review_Required,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Visual_Review_Method,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Test_Required,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Evidence_Required,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Runtime_Proof_Required,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
EC2_Allowed,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Blocker_Policy,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Source_Plan_Root,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Citation_File,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Citation_Full_Path,Exact source citation path under C:\Comfy_UI_Main\Plan.
Citation_Section,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Citation_Line_Start,Start line of cited source section.
Citation_Line_End,End line of cited source section.
Citation_Excerpt,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Source_Package,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Source_Type,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Source_File_Size,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Priority,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Risk_Level,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Status,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Created_From,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
Notes,"Itemized-list field used for autonomous implementation, QA, evidence, citations, and completion control."
