Item_ID,Item_Wave,Item_Type,Item_Title,Item_Category,Item_Domain,Owner_Domain,Autonomous_Required,Human_Input_Allowed,Human_Work_Allowed,Codex_Action,Implementation_Target,Deliverable_Type,Acceptance_Criteria,QA_Gates_Required,Visual_Review_Required,Visual_Review_Method,Test_Required,Evidence_Required,Runtime_Proof_Required,EC2_Allowed,Blocker_Policy,Source_Plan_Root,Citation_File,Citation_Full_Path,Citation_Section,Citation_Line_Start,Citation_Line_End,Citation_Excerpt,Source_Package,Source_Type,Source_File_Size,Priority,Risk_Level,Status,Created_From,Notes,Source_Key,Source_File_Relative,Coverage_Level,Coverage_Audit_Status,Ultra_Source_Coverage_Record
ITEM-018357,57,source_plan_section,06 FINAL PATCH AND MAINTENANCE POLICY — Do not overwrite,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required release / handoff / certification item: 06 FINAL PATCH AND MAINTENANCE POLICY — Do not overwrite",release_manifest_handoff_certification,code_config_workflow_manifest_qa_evidence,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,Not required unless output becomes visual,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,Plans\01_MANUALS\final_release\06_FINAL_PATCH_AND_MAINTENANCE_POLICY.md,C:\Comfy_UI_Main\Plan\Plans\01_MANUALS\final_release\06_FINAL_PATCH_AND_MAINTENANCE_POLICY.md,Do not overwrite,21,23,## Do not overwrite Do not overwrite the Wave 30 final release files without a patch record.,Plans(41).zip,md,460,P0,MEDIUM,Ready for Autonomous Build,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-019924,57,source_plan_section,FINAL MASTER PACKAGE MAP — Releases,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required release / handoff / certification item: FINAL MASTER PACKAGE MAP — Releases",release_manifest_handoff_certification,code_config_workflow_manifest_qa_evidence,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,Not required unless output becomes visual,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,Plans\02_ARCHITECTURE\final_release\FINAL_MASTER_PACKAGE_MAP.md,C:\Comfy_UI_Main\Plan\Plans\02_ARCHITECTURE\final_release\FINAL_MASTER_PACKAGE_MAP.md,Releases,33,37,## Releases `11_RELEASES/` ## Engine lanes `13_ENGINE_LANES/`,Plans(41).zip,md,404,P0,MEDIUM,Ready for Autonomous Build,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-019925,57,source_plan_section,FINAL MASTER PACKAGE MAP — Engine lanes,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required release / handoff / certification item: FINAL MASTER PACKAGE MAP — Engine lanes",release_manifest_handoff_certification,code_config_workflow_manifest_qa_evidence,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,Not required unless output becomes visual,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,Plans\02_ARCHITECTURE\final_release\FINAL_MASTER_PACKAGE_MAP.md,C:\Comfy_UI_Main\Plan\Plans\02_ARCHITECTURE\final_release\FINAL_MASTER_PACKAGE_MAP.md,Engine lanes,36,37,## Engine lanes `13_ENGINE_LANES/`,Plans(41).zip,md,404,P0,MEDIUM,Ready for Autonomous Build,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-021266,57,source_plan_section,engine lane manifest wave19 update,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required release / handoff / certification item: engine lane manifest wave19 update",release_manifest_handoff_certification,code_config_workflow_manifest_qa_evidence,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,TRUE,AI visual review + screenshot/frame/reference comparison where applicable,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,Plans\05_REGISTRIES\multi_engine\engine_lane_manifest_wave19_update.csv,C:\Comfy_UI_Main\Plan\Plans\05_REGISTRIES\multi_engine\engine_lane_manifest_wave19_update.csv,FILE_START,1,3,"lane_id,engine_family,lane_role,status,primary,wave_added,notes flux_primary,FLUX,primary_image_generation,active_template_layer,true,19,Default image generation lane sdxl_specialty_refinement,SDXL,support_refinement,preserved,false,15,Support pass expanded in Wave 21",Plans(41).zip,csv,272,P0,MEDIUM,Ready for Autonomous Build,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-022030,57,source_plan_section,router bindings wave23,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required release / handoff / certification item: router bindings wave23",release_manifest_handoff_certification,code_config_workflow_manifest_qa_evidence,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,TRUE,AI visual review + screenshot/frame/reference comparison where applicable,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,Plans\07_CONFIG\shared_post_processing\router_bindings_wave23.json,C:\Comfy_UI_Main\Plan\Plans\07_CONFIG\shared_post_processing\router_bindings_wave23.json,FILE_START,1,16,"{ ""accepted_route_types"": [ ""flux_only"", ""flux_with_sdxl_masked_refine"", ""flux_with_sdxl_light_img2img"", ""sdxl_specialty_refinement"" ], ""post_processing_lane"": ""shared/post_processing"", ""handoff_fields"": [ ""candidate_image"", ""route_id"", ""source_engine"", ""support_pass_used"", ""metadata"" ] }",Plans(41).zip,json,336,P0,MEDIUM,Ready for Autonomous Build,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-022336,57,source_plan_section,render multi engine manifest,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required release / handoff / certification item: render multi engine manifest",release_manifest_handoff_certification,code_config_workflow_manifest_qa_evidence,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,TRUE,AI visual review + screenshot/frame/reference comparison where applicable,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,Plans\08_SCRIPTS\multi_engine\python\render_multi_engine_manifest.py,C:\Comfy_UI_Main\Plan\Plans\08_SCRIPTS\multi_engine\python\render_multi_engine_manifest.py,FILE_START,1,13,"#!/usr/bin/env python3 """"""Render a compact multi-engine manifest summary."""""" from pathlib import Path import json root = Path(__file__).resolve().parents[3] cfg = json.loads((root/'07_CONFIG/multi_engine/multi_engine_project_config.json').read_text(encoding='utf-8')) print('# Multi-Engine Manifest Summary') print('\n## Engine Lanes') for lane in cf",Plans(41).zip,py,570,P0,MEDIUM,Ready for Autonomous Build,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-022400,57,source_plan_section,calculate package checksums,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required release / handoff / certification item: calculate package checksums",release_manifest_handoff_certification,code_config_workflow_manifest_qa_evidence,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,Not required unless output becomes visual,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,Plans\08_SCRIPTS\production_release\python\calculate_package_checksums.py,C:\Comfy_UI_Main\Plan\Plans\08_SCRIPTS\production_release\python\calculate_package_checksums.py,FILE_START,1,27,"#!/usr/bin/env python3 from pathlib import Path import hashlib def find_root(start): cur = Path(start).resolve() for c in [cur] + list(cur.parents): if (c/'PROJECT_MANIFEST.json').exists(): return c raise SystemExit('root not found') def sha256(p): h=hashlib.sha256() with p.open('rb') as f: for b in iter(lambda:f.read(1024*1024), b''): h.update(b) ",Plans(41).zip,py,895,P0,MEDIUM,Ready for Autonomous Build,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-022968,57,source_plan_section,RELEASE NOTES — Next Wave,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required release / handoff / certification item: RELEASE NOTES — Next Wave",release_manifest_handoff_certification,code_config_workflow_manifest_qa_evidence,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,Not required unless output becomes visual,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,Plans\11_RELEASES\Wave_01_Cumulative\RELEASE_NOTES.md,C:\Comfy_UI_Main\Plan\Plans\11_RELEASES\Wave_01_Cumulative\RELEASE_NOTES.md,Next Wave,30,32,## Next Wave Wave 02: Environment Install Baseline.,Plans(41).zip,md,696,P0,MEDIUM,Ready for Autonomous Build,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-022990,57,source_plan_section,RELEASE NOTES — Cumulative Rule,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required release / handoff / certification item: RELEASE NOTES — Cumulative Rule",release_manifest_handoff_certification,code_config_workflow_manifest_qa_evidence,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,Not required unless output becomes visual,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,Plans\11_RELEASES\Wave_05_Cumulative\RELEASE_NOTES.md,C:\Comfy_UI_Main\Plan\Plans\11_RELEASES\Wave_05_Cumulative\RELEASE_NOTES.md,Cumulative Rule,16,18,## Cumulative Rule This release includes all previous Wave 01–04 files plus Wave 06 additions.,Plans(41).zip,md,814,P0,MEDIUM,Ready for Autonomous Build,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-022996,57,source_plan_section,RELEASE NOTES,Release / Handoff / Certification,release_handoff,Release / Handoff / Certification,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required release / handoff / certification item: RELEASE NOTES",release_manifest_handoff_certification,code_config_workflow_manifest_qa_evidence,"Release manifest, validation report, handoff packet, and proof boundary status are complete.",release_manifest|validation_report|handoff_packet|proof_boundary_check|zip_integrity,FALSE,Not required unless output becomes visual,TRUE,"Release manifest, validation report, handoff packet, ZIP integrity report",FALSE,FALSE,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,Plans\11_RELEASES\Wave_06_Cumulative\RELEASE_NOTES.md,C:\Comfy_UI_Main\Plan\Plans\11_RELEASES\Wave_06_Cumulative\RELEASE_NOTES.md,Notes,19,20,## Notes This release is cumulative through Wave 06 and should become the base package for Wave 07.,Plans(41).zip,md,715,P0,MEDIUM,Ready for Autonomous Build,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
