Item_ID,Item_Wave,Item_Type,Item_Title,Item_Category,Item_Domain,Owner_Domain,Autonomous_Required,Human_Input_Allowed,Human_Work_Allowed,Codex_Action,Implementation_Target,Deliverable_Type,Acceptance_Criteria,QA_Gates_Required,Visual_Review_Required,Visual_Review_Method,Test_Required,Evidence_Required,Runtime_Proof_Required,EC2_Allowed,Blocker_Policy,Source_Plan_Root,Citation_File,Citation_Full_Path,Citation_Section,Citation_Line_Start,Citation_Line_End,Citation_Excerpt,Source_Package,Source_Type,Source_File_Size,Priority,Risk_Level,Status,Created_From,Notes,Source_Key,Source_File_Relative,Coverage_Level,Coverage_Audit_Status,Ultra_Source_Coverage_Record
ITEM-W65-0001,65,plan_source_coverage_closure,AI source coverage closure for Plan\07_IMPLEMENTATION\scripts\resolve_wave64_image_engine_route.py,Image source coverage,07_implementation,07_IMPLEMENTATION,TRUE,FALSE,FALSE,"Autonomously read, interpret, implement or block, test, review, and evidence every actionable requirement from Plan\07_IMPLEMENTATION\scripts\resolve_wave64_image_engine_route.py.",Plan\07_IMPLEMENTATION\scripts\resolve_wave64_image_engine_route.py,source_traceability_item_tracker_row_test_review_evidence_or_blocker,"The autonomous session has a direct Items/Tracker row for this Plan source file, reads the cited section before acting on it, translates any requirements into executable work, and blocks completion until whole-image visual QA, including target and non-target regions, tests, and evidence pass. Localized image, video, GIF, mask, prompt, frame, or audio work cannot pass if any unrelated whole-artifact visual or audio defect remains.",source_file_read|citation_file_section_line_excerpt_present|requirements_extracted|implementation_or_blocker_recorded|test_or_review_gate_recorded|whole_artifact_visual_audio_regression_if_media|evidence_path_recorded,TRUE,whole_image_visual_review_when_this_source_affects_generated_media,TRUE,source_citation|required_action_extraction|test_or_static_validation|qa_review_record|pass_fail_or_blocker_decision,FALSE,FALSE,"No human work. If this source cannot be read, mapped, tested, reviewed, or evidenced, create a source-cited blocker and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\07_IMPLEMENTATION\scripts\resolve_wave64_image_engine_route.py,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\scripts\resolve_wave64_image_engine_route.py,!/usr/bin/env python3,1,13,"#!/usr/bin/env python3 """""" Wave64 local image-engine router proof. Resolves a base-generation image route from the active lane manifest, runtime lane queue, runtime requirements, and model registry. The resolver is local only: it does not contact AWS, GitHub, Civitai, EC2, or ComfyUI. """""" from __future__ import annotations import argparse import json from datetime import datetime, timezone",C:\Comfy_UI_Main\Plan,py,17046,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave65 exhaustive Plan source coverage closure generator,AI-only source closure row. This is not a human checklist; it is an autonomous execution and QA control record.,W65:07_implementation:Plan\07_IMPLEMENTATION\scripts\resolve_wave64_image_engine_route.py#L1-L13,Plan\07_IMPLEMENTATION\scripts\resolve_wave64_image_engine_route.py,exhaustive_current_plan_file_source_closure,covered_by_wave65_plan_source_closure,W65:07_implementation:Plan\07_IMPLEMENTATION\scripts\resolve_wave64_image_engine_route.py#L1-L13
ITEM-W65-0002,65,plan_source_coverage_closure,AI source coverage closure for Plan\07_IMPLEMENTATION\workflow_templates\base_generation\runtime_lane_queue.json,Implementation source coverage,07_implementation,07_IMPLEMENTATION,TRUE,FALSE,FALSE,"Autonomously read, interpret, implement or block, test, review, and evidence every actionable requirement from Plan\07_IMPLEMENTATION\workflow_templates\base_generation\runtime_lane_queue.json.",Plan\07_IMPLEMENTATION\workflow_templates\base_generation\runtime_lane_queue.json,source_traceability_item_tracker_row_test_review_evidence_or_blocker,"The autonomous session has a direct Items/Tracker row for this Plan source file, reads the cited section before acting on it, translates any requirements into executable work, and blocks completion until workflow/static/runtime compatibility and evidence review, tests, and evidence pass. Localized image, video, GIF, mask, prompt, frame, or audio work cannot pass if any unrelated whole-artifact visual or audio defect remains.",source_file_read|citation_file_section_line_excerpt_present|requirements_extracted|implementation_or_blocker_recorded|test_or_review_gate_recorded|whole_artifact_visual_audio_regression_if_media|evidence_path_recorded,FALSE,not_applicable_source_coverage,TRUE,source_citation|required_action_extraction|test_or_static_validation|qa_review_record|pass_fail_or_blocker_decision,TRUE,TRUE,"No human work. If this source cannot be read, mapped, tested, reviewed, or evidenced, create a source-cited blocker and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\runtime_lane_queue.json,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\workflow_templates\base_generation\runtime_lane_queue.json,JSON root near line 1,1,13,"﻿{ ""schema_version"": ""1.0"", ""updated_at"": ""2026-07-06T14:01:00-05:00"", ""artifact_id"": ""TRK-W61-006"", ""purpose"": ""Local queue for base-generation lane runtime proof order before EC2 execution resumes."", ""local_only"": true, ""selection_policy"": { ""first_runtime_lane_id"": ""sdxl_low_risk_fallback_lane"", ""current_runtime_lane_id"": ""sdxl_realvisxl_controlnet_canny_lane"", ""completed_runtime_lane_ids"": [ ""sdxl_low_risk_fallback_lane"", ""sdxl_realvisxl_base_lane"" ],",C:\Comfy_UI_Main\Plan,json,9550,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave65 exhaustive Plan source coverage closure generator,AI-only source closure row. This is not a human checklist; it is an autonomous execution and QA control record.,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\runtime_lane_queue.json#L1-L13,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\runtime_lane_queue.json,exhaustive_current_plan_file_source_closure,covered_by_wave65_plan_source_closure,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\runtime_lane_queue.json#L1-L13
ITEM-W65-0003,65,plan_source_coverage_closure,AI source coverage closure for Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\patch_points.json,Implementation source coverage,07_implementation,07_IMPLEMENTATION,TRUE,FALSE,FALSE,"Autonomously read, interpret, implement or block, test, review, and evidence every actionable requirement from Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\patch_points.json.",Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\patch_points.json,source_traceability_item_tracker_row_test_review_evidence_or_blocker,"The autonomous session has a direct Items/Tracker row for this Plan source file, reads the cited section before acting on it, translates any requirements into executable work, and blocks completion until workflow/static/runtime compatibility and evidence review, tests, and evidence pass. Localized image, video, GIF, mask, prompt, frame, or audio work cannot pass if any unrelated whole-artifact visual or audio defect remains.",source_file_read|citation_file_section_line_excerpt_present|requirements_extracted|implementation_or_blocker_recorded|test_or_review_gate_recorded|whole_artifact_visual_audio_regression_if_media|evidence_path_recorded,FALSE,not_applicable_source_coverage,TRUE,source_citation|required_action_extraction|test_or_static_validation|qa_review_record|pass_fail_or_blocker_decision,TRUE,TRUE,"No human work. If this source cannot be read, mapped, tested, reviewed, or evidenced, create a source-cited blocker and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\patch_points.json,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\patch_points.json,{,1,13,"{ ""lane_id"": ""sdxl_low_risk_fallback_lane"", ""workflow_path"": ""Plan/07_IMPLEMENTATION/workflow_templates/base_generation/sdxl_low_risk_fallback_lane/workflow.api.json"", ""patch_points"": [ { ""name"": ""positive_prompt"", ""required"": true, ""node_id"": ""6"", ""node_type"": ""CLIPTextEncode"", ""input"": ""text"" }, { ""name"": ""negative_prompt"",",C:\Comfy_UI_Main\Plan,json,1620,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave65 exhaustive Plan source coverage closure generator,AI-only source closure row. This is not a human checklist; it is an autonomous execution and QA control record.,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\patch_points.json#L1-L13,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\patch_points.json,exhaustive_current_plan_file_source_closure,covered_by_wave65_plan_source_closure,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\patch_points.json#L1-L13
ITEM-W65-0004,65,plan_source_coverage_closure,AI source coverage closure for Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\runtime_requirements.json,Implementation source coverage,07_implementation,07_IMPLEMENTATION,TRUE,FALSE,FALSE,"Autonomously read, interpret, implement or block, test, review, and evidence every actionable requirement from Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\runtime_requirements.json.",Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\runtime_requirements.json,source_traceability_item_tracker_row_test_review_evidence_or_blocker,"The autonomous session has a direct Items/Tracker row for this Plan source file, reads the cited section before acting on it, translates any requirements into executable work, and blocks completion until workflow/static/runtime compatibility and evidence review, tests, and evidence pass. Localized image, video, GIF, mask, prompt, frame, or audio work cannot pass if any unrelated whole-artifact visual or audio defect remains.",source_file_read|citation_file_section_line_excerpt_present|requirements_extracted|implementation_or_blocker_recorded|test_or_review_gate_recorded|whole_artifact_visual_audio_regression_if_media|evidence_path_recorded,FALSE,not_applicable_source_coverage,TRUE,source_citation|required_action_extraction|test_or_static_validation|qa_review_record|pass_fail_or_blocker_decision,TRUE,TRUE,"No human work. If this source cannot be read, mapped, tested, reviewed, or evidenced, create a source-cited blocker and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\runtime_requirements.json,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\runtime_requirements.json,{,1,13,"{ ""lane_id"": ""sdxl_low_risk_fallback_lane"", ""engine_family"": ""sdxl"", ""workflow_path"": ""Plan/07_IMPLEMENTATION/workflow_templates/base_generation/sdxl_low_risk_fallback_lane/workflow.api.json"", ""required_nodes"": [ ""CheckpointLoaderSimple"", ""EmptyLatentImage"", ""CLIPTextEncode"", ""KSampler"", ""VAEDecode"", ""SaveImage"" ], ""required_models"": [",C:\Comfy_UI_Main\Plan,json,2509,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave65 exhaustive Plan source coverage closure generator,AI-only source closure row. This is not a human checklist; it is an autonomous execution and QA control record.,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\runtime_requirements.json#L1-L13,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\runtime_requirements.json,exhaustive_current_plan_file_source_closure,covered_by_wave65_plan_source_closure,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\runtime_requirements.json#L1-L13
ITEM-W65-0005,65,plan_source_coverage_closure,AI source coverage closure for Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\smoke_test_request.json,Implementation source coverage,07_implementation,07_IMPLEMENTATION,TRUE,FALSE,FALSE,"Autonomously read, interpret, implement or block, test, review, and evidence every actionable requirement from Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\smoke_test_request.json.",Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\smoke_test_request.json,source_traceability_item_tracker_row_test_review_evidence_or_blocker,"The autonomous session has a direct Items/Tracker row for this Plan source file, reads the cited section before acting on it, translates any requirements into executable work, and blocks completion until workflow/static/runtime compatibility and evidence review, tests, and evidence pass. Localized image, video, GIF, mask, prompt, frame, or audio work cannot pass if any unrelated whole-artifact visual or audio defect remains.",source_file_read|citation_file_section_line_excerpt_present|requirements_extracted|implementation_or_blocker_recorded|test_or_review_gate_recorded|whole_artifact_visual_audio_regression_if_media|evidence_path_recorded,FALSE,not_applicable_source_coverage,TRUE,source_citation|required_action_extraction|test_or_static_validation|qa_review_record|pass_fail_or_blocker_decision,TRUE,TRUE,"No human work. If this source cannot be read, mapped, tested, reviewed, or evidenced, create a source-cited blocker and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\smoke_test_request.json,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\smoke_test_request.json,{,1,13,"{ ""lane_id"": ""sdxl_low_risk_fallback_lane"", ""workflow_path"": ""Plan/07_IMPLEMENTATION/workflow_templates/base_generation/sdxl_low_risk_fallback_lane/workflow.api.json"", ""execution_target"": ""EC2 ComfyUI API"", ""api_endpoint"": ""/prompt"", ""execution_allowed"": false, ""execution_allowed_after"": [ ""AWS CLI login refreshed"", ""object_info proof confirms required nodes"", ""checkpoint path and sha256 are recorded"" ], ""request_patch_values"": { ""positive_prompt"": ""hyperrealistic editorial portrait, natural skin texture, balanced lighting, realistic eyes, detailed fabric, neutral studio background"",",C:\Comfy_UI_Main\Plan,json,1546,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave65 exhaustive Plan source coverage closure generator,AI-only source closure row. This is not a human checklist; it is an autonomous execution and QA control record.,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\smoke_test_request.json#L1-L13,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\smoke_test_request.json,exhaustive_current_plan_file_source_closure,covered_by_wave65_plan_source_closure,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\smoke_test_request.json#L1-L13
ITEM-W65-0006,65,plan_source_coverage_closure,AI source coverage closure for Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\workflow.api.json,Implementation source coverage,07_implementation,07_IMPLEMENTATION,TRUE,FALSE,FALSE,"Autonomously read, interpret, implement or block, test, review, and evidence every actionable requirement from Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\workflow.api.json.",Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\workflow.api.json,source_traceability_item_tracker_row_test_review_evidence_or_blocker,"The autonomous session has a direct Items/Tracker row for this Plan source file, reads the cited section before acting on it, translates any requirements into executable work, and blocks completion until workflow/static/runtime compatibility and evidence review, tests, and evidence pass. Localized image, video, GIF, mask, prompt, frame, or audio work cannot pass if any unrelated whole-artifact visual or audio defect remains.",source_file_read|citation_file_section_line_excerpt_present|requirements_extracted|implementation_or_blocker_recorded|test_or_review_gate_recorded|whole_artifact_visual_audio_regression_if_media|evidence_path_recorded,FALSE,not_applicable_source_coverage,TRUE,source_citation|required_action_extraction|test_or_static_validation|qa_review_record|pass_fail_or_blocker_decision,TRUE,TRUE,"No human work. If this source cannot be read, mapped, tested, reviewed, or evidenced, create a source-cited blocker and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\workflow.api.json,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\workflow.api.json,{,1,13,"{ ""3"": { ""class_type"": ""KSampler"", ""inputs"": { ""seed"": 6100610061, ""steps"": 20, ""cfg"": 6.5, ""sampler_name"": ""euler"", ""scheduler"": ""normal"", ""denoise"": 1, ""model"": [ ""4"", 0",C:\Comfy_UI_Main\Plan,json,1579,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave65 exhaustive Plan source coverage closure generator,AI-only source closure row. This is not a human checklist; it is an autonomous execution and QA control record.,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\workflow.api.json#L1-L13,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\workflow.api.json,exhaustive_current_plan_file_source_closure,covered_by_wave65_plan_source_closure,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_low_risk_fallback_lane\workflow.api.json#L1-L13
ITEM-W65-0007,65,plan_source_coverage_closure,AI source coverage closure for Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\patch_points.json,Implementation source coverage,07_implementation,07_IMPLEMENTATION,TRUE,FALSE,FALSE,"Autonomously read, interpret, implement or block, test, review, and evidence every actionable requirement from Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\patch_points.json.",Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\patch_points.json,source_traceability_item_tracker_row_test_review_evidence_or_blocker,"The autonomous session has a direct Items/Tracker row for this Plan source file, reads the cited section before acting on it, translates any requirements into executable work, and blocks completion until workflow/static/runtime compatibility and evidence review, tests, and evidence pass. Localized image, video, GIF, mask, prompt, frame, or audio work cannot pass if any unrelated whole-artifact visual or audio defect remains.",source_file_read|citation_file_section_line_excerpt_present|requirements_extracted|implementation_or_blocker_recorded|test_or_review_gate_recorded|whole_artifact_visual_audio_regression_if_media|evidence_path_recorded,FALSE,not_applicable_source_coverage,TRUE,source_citation|required_action_extraction|test_or_static_validation|qa_review_record|pass_fail_or_blocker_decision,TRUE,TRUE,"No human work. If this source cannot be read, mapped, tested, reviewed, or evidenced, create a source-cited blocker and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\patch_points.json,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\patch_points.json,{,1,13,"{ ""lane_id"": ""sdxl_realvisxl_base_lane"", ""workflow_path"": ""Plan/07_IMPLEMENTATION/workflow_templates/base_generation/sdxl_realvisxl_base_lane/workflow.api.json"", ""patch_points"": [ { ""name"": ""positive_prompt"", ""required"": true, ""node_id"": ""6"", ""node_type"": ""CLIPTextEncode"", ""input"": ""text"" }, { ""name"": ""negative_prompt"",",C:\Comfy_UI_Main\Plan,json,1642,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave65 exhaustive Plan source coverage closure generator,AI-only source closure row. This is not a human checklist; it is an autonomous execution and QA control record.,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\patch_points.json#L1-L13,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\patch_points.json,exhaustive_current_plan_file_source_closure,covered_by_wave65_plan_source_closure,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\patch_points.json#L1-L13
ITEM-W65-0008,65,plan_source_coverage_closure,AI source coverage closure for Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\runtime_requirements.json,Implementation source coverage,07_implementation,07_IMPLEMENTATION,TRUE,FALSE,FALSE,"Autonomously read, interpret, implement or block, test, review, and evidence every actionable requirement from Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\runtime_requirements.json.",Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\runtime_requirements.json,source_traceability_item_tracker_row_test_review_evidence_or_blocker,"The autonomous session has a direct Items/Tracker row for this Plan source file, reads the cited section before acting on it, translates any requirements into executable work, and blocks completion until workflow/static/runtime compatibility and evidence review, tests, and evidence pass. Localized image, video, GIF, mask, prompt, frame, or audio work cannot pass if any unrelated whole-artifact visual or audio defect remains.",source_file_read|citation_file_section_line_excerpt_present|requirements_extracted|implementation_or_blocker_recorded|test_or_review_gate_recorded|whole_artifact_visual_audio_regression_if_media|evidence_path_recorded,FALSE,not_applicable_source_coverage,TRUE,source_citation|required_action_extraction|test_or_static_validation|qa_review_record|pass_fail_or_blocker_decision,TRUE,TRUE,"No human work. If this source cannot be read, mapped, tested, reviewed, or evidenced, create a source-cited blocker and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\runtime_requirements.json,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\runtime_requirements.json,{,1,13,"{ ""lane_id"": ""sdxl_realvisxl_base_lane"", ""engine_family"": ""sdxl"", ""checkpoint_family"": ""RealVisXL"", ""workflow_path"": ""Plan/07_IMPLEMENTATION/workflow_templates/base_generation/sdxl_realvisxl_base_lane/workflow.api.json"", ""required_nodes"": [ ""CheckpointLoaderSimple"", ""EmptyLatentImage"", ""CLIPTextEncode"", ""KSampler"", ""VAEDecode"", ""SaveImage"" ],",C:\Comfy_UI_Main\Plan,json,3387,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave65 exhaustive Plan source coverage closure generator,AI-only source closure row. This is not a human checklist; it is an autonomous execution and QA control record.,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\runtime_requirements.json#L1-L13,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\runtime_requirements.json,exhaustive_current_plan_file_source_closure,covered_by_wave65_plan_source_closure,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\runtime_requirements.json#L1-L13
ITEM-W65-0009,65,plan_source_coverage_closure,AI source coverage closure for Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\smoke_test_request.json,Implementation source coverage,07_implementation,07_IMPLEMENTATION,TRUE,FALSE,FALSE,"Autonomously read, interpret, implement or block, test, review, and evidence every actionable requirement from Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\smoke_test_request.json.",Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\smoke_test_request.json,source_traceability_item_tracker_row_test_review_evidence_or_blocker,"The autonomous session has a direct Items/Tracker row for this Plan source file, reads the cited section before acting on it, translates any requirements into executable work, and blocks completion until workflow/static/runtime compatibility and evidence review, tests, and evidence pass. Localized image, video, GIF, mask, prompt, frame, or audio work cannot pass if any unrelated whole-artifact visual or audio defect remains.",source_file_read|citation_file_section_line_excerpt_present|requirements_extracted|implementation_or_blocker_recorded|test_or_review_gate_recorded|whole_artifact_visual_audio_regression_if_media|evidence_path_recorded,FALSE,not_applicable_source_coverage,TRUE,source_citation|required_action_extraction|test_or_static_validation|qa_review_record|pass_fail_or_blocker_decision,TRUE,TRUE,"No human work. If this source cannot be read, mapped, tested, reviewed, or evidenced, create a source-cited blocker and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\smoke_test_request.json,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\smoke_test_request.json,{,1,13,"{ ""lane_id"": ""sdxl_realvisxl_base_lane"", ""workflow_path"": ""Plan/07_IMPLEMENTATION/workflow_templates/base_generation/sdxl_realvisxl_base_lane/workflow.api.json"", ""execution_target"": ""EC2 ComfyUI API"", ""api_endpoint"": ""/prompt"", ""execution_allowed"": false, ""execution_allowed_after"": [ ""AWS CLI login refreshed"", ""local Git checkpoint gate passes"", ""object_info proof confirms required nodes"", ""RealVisXL checkpoint path and sha256 are recorded"" ], ""request_patch_values"": {",C:\Comfy_UI_Main\Plan,json,1707,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave65 exhaustive Plan source coverage closure generator,AI-only source closure row. This is not a human checklist; it is an autonomous execution and QA control record.,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\smoke_test_request.json#L1-L13,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\smoke_test_request.json,exhaustive_current_plan_file_source_closure,covered_by_wave65_plan_source_closure,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\smoke_test_request.json#L1-L13
ITEM-W65-0010,65,plan_source_coverage_closure,AI source coverage closure for Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\workflow.api.json,Implementation source coverage,07_implementation,07_IMPLEMENTATION,TRUE,FALSE,FALSE,"Autonomously read, interpret, implement or block, test, review, and evidence every actionable requirement from Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\workflow.api.json.",Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\workflow.api.json,source_traceability_item_tracker_row_test_review_evidence_or_blocker,"The autonomous session has a direct Items/Tracker row for this Plan source file, reads the cited section before acting on it, translates any requirements into executable work, and blocks completion until workflow/static/runtime compatibility and evidence review, tests, and evidence pass. Localized image, video, GIF, mask, prompt, frame, or audio work cannot pass if any unrelated whole-artifact visual or audio defect remains.",source_file_read|citation_file_section_line_excerpt_present|requirements_extracted|implementation_or_blocker_recorded|test_or_review_gate_recorded|whole_artifact_visual_audio_regression_if_media|evidence_path_recorded,FALSE,not_applicable_source_coverage,TRUE,source_citation|required_action_extraction|test_or_static_validation|qa_review_record|pass_fail_or_blocker_decision,TRUE,TRUE,"No human work. If this source cannot be read, mapped, tested, reviewed, or evidenced, create a source-cited blocker and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\workflow.api.json,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\workflow.api.json,{,1,13,"{ ""3"": { ""class_type"": ""KSampler"", ""inputs"": { ""seed"": 7152026061, ""steps"": 30, ""cfg"": 5.5, ""sampler_name"": ""dpmpp_2m"", ""scheduler"": ""karras"", ""denoise"": 1, ""model"": [ ""4"", 0",C:\Comfy_UI_Main\Plan,json,1690,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave65 exhaustive Plan source coverage closure generator,AI-only source closure row. This is not a human checklist; it is an autonomous execution and QA control record.,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\workflow.api.json#L1-L13,Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\workflow.api.json,exhaustive_current_plan_file_source_closure,covered_by_wave65_plan_source_closure,W65:07_implementation:Plan\07_IMPLEMENTATION\workflow_templates\base_generation\sdxl_realvisxl_base_lane\workflow.api.json#L1-L13
