Source_Key,Source_File_Relative,Citation_File,Citation_Full_Path,Citation_Section,Citation_Line_Start,Citation_Line_End,Citation_Excerpt,Source_Type,Source_Size_Bytes,Domain,Coverage_Level
d17b216356bb9451,00_PROJECT_CONTROL/AI_PROJECT_MANAGER_OPERATING_MANUAL.md,00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,AI Project Manager Operating Manual,1,2,# AI Project Manager Operating Manual,md,2506,app_mode_ui,section
7f1508b03f6a2ec4,00_PROJECT_CONTROL/AI_PROJECT_MANAGER_OPERATING_MANUAL.md,00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,Mission,3,6,"## Mission Build the ultimate modular hyper-realism generation system for images, GIFs/video, and audio using ComfyUI as the execution layer and an external controller as the autonomous planning/QA layer.",md,2506,qa_testing_visual_review,section
48fa77800e549abe,00_PROJECT_CONTROL/AI_PROJECT_MANAGER_OPERATING_MANUAL.md,00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,Non-negotiable architecture rules,7,19,"## Non-negotiable architecture rules 1. Use modular workflows or subgraphs. Do not continue expanding one giant untestable graph. 2. Keep catalog/library nodes out of active production paths. 3. Use an external pass planner/orchestrator for autonomy. 4. Use ComfyUI App Mode only as the simplified user interface, not as the reasoning brain. 5. Use decoded images as engine boundaries unless latent compatibility is proven. 6. Use masks for every local body/skin/fabric/contact edit. 7. Use per-character instance IDs and masks for multi-character work. 8. Use QA gates as blockers, not suggestions. ",md,2506,qa_testing_visual_review,section
a90d8ace554f504e,00_PROJECT_CONTROL/AI_PROJECT_MANAGER_OPERATING_MANUAL.md,00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,Required AI behavior,20,34,"## Required AI behavior For every task, the AI project manager must: 1. Read the current cumulative manifest. 2. Identify the wave, scope, and dependencies. 3. Inspect affected files before editing. 4. Make the smallest safe change that advances the wave. 5. Validate syntax, paths, schemas, and workflow graph structure. 6. Produce a delivery report. 7. Produce a validation report. 8. Add unresolved issues to a known-issues log. 9. Do not claim runtime proof unless actual outputs exist and QA evidence is attached. 10. Record all assumptions.",md,2506,qa_testing_visual_review,section
5e891ca79345e57c,00_PROJECT_CONTROL/AI_PROJECT_MANAGER_OPERATING_MANUAL.md,00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,Required proof levels,35,44,"## Required proof levels - **Static proof:** files exist, parse, and schemas validate. - **Graph proof:** workflow nodes, links, models, and node classes are valid. - **Runtime proof:** ComfyUI executes the workflow and creates output files. - **Visual proof:** crop/contact/mask QA confirms the target visual change happened. - **Temporal proof:** frame-by-frame video/GIF QA confirms consistency. - **Audio proof:** audio manifests, timing, mix, and sync QA pass. - **Promotion proof:** all required proof levels pass for the requested lane.",md,2506,qa_testing_visual_review,section
d99aed2ceeb248dc,00_PROJECT_CONTROL/AI_PROJECT_MANAGER_OPERATING_MANUAL.md,00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,AI project manager must never,45,53,"## AI project manager must never - Treat disabled library nodes as active. - Treat notes as wired runtime evidence. - Activate all LoRAs in a category at once. - Use body-part LoRAs globally when a masked pass is required. - Fix character count failures with small inpaint; rerun layout/base instead. - Upscale failed anatomy, contact, or multi-character outputs. - Merge characters into one prompt without instance masks.",md,2506,qa_testing_visual_review,section
70df5004244f75c3,00_PROJECT_CONTROL/CUMULATIVE_PACKAGING_RULES.md,00_PROJECT_CONTROL\CUMULATIVE_PACKAGING_RULES.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\CUMULATIVE_PACKAGING_RULES.md,Cumulative Packaging Rules,1,23,# Cumulative Packaging Rules 1. Every wave updates the same blueprint package root. 2. No wave may ship only its own new documents; it must include the prior cumulative package plus updates. 3. Every wave must update: - README.md - 00_PROJECT_CONTROL/WAVE_00_TO_19_MASTER_SCHEDULE.md when scope changes - PROJECT_MANIFEST.json - 11_RELEASES/WAVE##_DELIVERY_REPORT.md - 11_RELEASES/WAVE##_VALIDATION_REPORT.json 4. Every new workflow/config/schema/script must be listed in the manifest. 5. Every ComfyUI workflow must have: - UI JSON when needed - API JSON when it will be run by the orchestrator - re,md,1051,qa_testing_visual_review,section
9fdc744febec7ac6,00_PROJECT_CONTROL/WAVE04_AI_PM_DECONSTRUCTION_CHECKLIST.md,00_PROJECT_CONTROL\WAVE04_AI_PM_DECONSTRUCTION_CHECKLIST.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE04_AI_PM_DECONSTRUCTION_CHECKLIST.md,Wave 04 — AI Project Manager Deconstruction Checklist,1,4,# Wave 04 — AI Project Manager Deconstruction Checklist The AI project manager must use this checklist before moving to Wave 05.,md,1998,app_mode_ui,section
19b50b8d25a933c3,00_PROJECT_CONTROL/WAVE04_AI_PM_DECONSTRUCTION_CHECKLIST.md,00_PROJECT_CONTROL\WAVE04_AI_PM_DECONSTRUCTION_CHECKLIST.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE04_AI_PM_DECONSTRUCTION_CHECKLIST.md,Required confirmations,5,19,## Required confirmations - [ ] Confirm the Main Flow is treated as a source/staging canvas. - [ ] Confirm the Main Flow is not treated as final architecture. - [ ] Confirm every SaveImage terminal lane has been inventoried. - [ ] Confirm every Note node is classified as a boundary/documentation item unless converted into executable work later. - [ ] Confirm all ordinary `LoraLoader` catalog nodes remain disabled/disconnected. - [ ] Confirm the disabled LoRA library is scheduled for registry extraction. - [ ] Confirm active stack compatibility must be verified before runtime promotion. - [ ] C,md,1998,comfyui_workflows,section
6bcdd8dfc576c165,00_PROJECT_CONTROL/WAVE04_AI_PM_DECONSTRUCTION_CHECKLIST.md,00_PROJECT_CONTROL\WAVE04_AI_PM_DECONSTRUCTION_CHECKLIST.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE04_AI_PM_DECONSTRUCTION_CHECKLIST.md,Required outputs,20,31,## Required outputs - [ ] `main_flow_wave04_deconstruction_summary.json` - [ ] `main_flow_wave04_runtime_lanes.json` - [ ] `main_flow_wave04_node_classification.json` - [ ] `main_flow_wave04_note_boundaries.json` - [ ] `main_flow_wave04_lora_catalog_inventory_raw.json` - [ ] `WAVE04_MAIN_FLOW_DECONSTRUCTION_REPORT.md` - [ ] `WAVE04_MAIN_FLOW_FIX_UPDATE_CONNECT_IMPROVE_LIST.md` - [ ] `WAVE04_MODULE_EXTRACTION_PLAN.md` - [ ] `WAVE04_VALIDATION_REPORT.json`,md,1998,qa_testing_visual_review,section
